size_interval	pb
[0.0, 100.0]	0.0007215441043833805
[100.0, 200.0]	0.02074439300102219
[200.0, 300.0]	0.7623714749564067
[300.0, 400.0]	0.020684264325656905
[400.0, 500.0]	0.007816727797486621
[500.0, 600.0]	0.004088749924839156
[600.0, 700.0]	0.004269135950935001
[700.0, 800.0]	0.004750165353857255
[800.0, 900.0]	0.006373639588719861
[900.0, 1000.0]	0.004810294029222536
[1000.0, 1100.0]	0.0046900366784919725
[1100.0, 1200.0]	0.004389393301665564
[1200.0, 1300.0]	0.007095183693103241
[1300.0, 1400.0]	0.00703505501773796
[1400.0, 1500.0]	0.005952738861162888
[1500.0, 1600.0]	0.014009981360110637
[1600.0, 1700.0]	0.004990680055318382
[1700.0, 1800.0]	0.003066562443629367
[1800.0, 1900.0]	0.0019842462870542964
[1900.0, 2000.0]	0.0019842462870542964
[2000.0, 2100.0]	0.001803860260958451
[2100.0, 2200.0]	0.0022848896638807048
[2200.0, 2300.0]	0.003246948469725212
[2300.0, 2400.0]	0.002224760988515423
[2400.0, 2500.0]	0.002224760988515423
[2500.0, 2600.0]	0.0015633455594973242
[2600.0, 2700.0]	0.0013228308580361975
[2700.0, 2800.0]	0.0015633455594973242
[2800.0, 2900.0]	0.0015032168841320427
[2900.0, 3000.0]	0.0024652756899765497
[3000.0, 3100.0]	0.002224760988515423
[3100.0, 3200.0]	0.001202573507305634
[3200.0, 3300.0]	0.0021045036377848594
[3300.0, 3400.0]	0.0021646323131501413
[3400.0, 3500.0]	0.0018639889363237328
[3500.0, 3600.0]	0.0017437315855931693
[3600.0, 3700.0]	0.0019842462870542964
[3700.0, 3800.0]	0.0022848896638807048
[3800.0, 3900.0]	0.0015633455594973242
[3900.0, 4000.0]	0.0015633455594973242
[4000.0, 4100.0]	0.0013829595334014792
[4100.0, 4200.0]	0.0017437315855931693
[4200.0, 4300.0]	0.0011424448319403524
[4300.0, 4400.0]	0.0013829595334014792
[4400.0, 4500.0]	0.002645661716072395
[4500.0, 4600.0]	0.0021646323131501413
[4600.0, 4700.0]	0.002044374962419578
[4700.0, 4800.0]	0.0017437315855931693
[4800.0, 4900.0]	0.0021646323131501413
[4900.0, 5000.0]	0.001803860260958451
[5000.0, 5100.0]	0.0011424448319403524
[5100.0, 5200.0]	0.001022187481209789
[5200.0, 5300.0]	0.0012627021826709158
[5300.0, 5400.0]	0.001202573507305634
[5400.0, 5500.0]	0.0021646323131501413
[5500.0, 5600.0]	0.0015633455594973242
[5600.0, 5700.0]	0.0016836029102278876
[5700.0, 5800.0]	0.0017437315855931693
[5800.0, 5900.0]	0.005110937406048945
[5900.0, 6000.0]	0.01876014671396789
[6000.0, 6100.0]	0.015392940893512116
